name,protocols,tvl,timestamp
aelf,1,8684607.99,2025-08-07T19:30:03.273655
Fuel Ignition,0,8376398.15,2025-08-07T19:30:03.273705
Bitcoincash,3,8247999.04,2025-08-07T19:30:03.272216
Moonbeam,67,7757782.3,2025-08-07T19:30:03.271593
K2,2,7628139.15,2025-08-07T19:30:03.273609
Ontology,3,7136284.61,2025-08-07T19:30:03.272026
Onus,5,7032332.48,2025-08-07T19:30:03.273418
Saga,3,7021187.97,2025-08-07T19:30:03.273233
IOTA EVM,9,6936181.64,2025-08-07T19:30:03.273383
Venom,3,6825922,2025-08-07T19:30:03.273630
Chiliz,14,6701343.66,2025-08-07T19:30:03.273137
Polynomial,2,6270522.71,2025-08-07T19:30:03.273386
Telos,43,6141567.59,2025-08-07T19:30:03.271816
Bahamut,8,6131949.53,2025-08-07T19:30:03.273047
Secret,10,6110598.06,2025-08-07T19:30:03.272138
Wanchain,10,5955540.94,2025-08-07T19:30:03.272020
Terra2,17,5914986.7,2025-08-07T19:30:03.272321
FSC,1,5910402.25,2025-08-07T19:30:03.273528
Aurora,62,5778363.23,2025-08-07T19:30:03.271573
X Layer,29,5672479.44,2025-08-07T19:30:03.271550
Echelon Chain,1,5018241.07,2025-08-07T19:30:03.273616
Vite,4,4949487.65,2025-08-07T19:30:03.272962
Elys,2,4918957.28,2025-08-07T19:30:03.273735
DFS Network,1,4646146.68,2025-08-07T19:30:03.272372
Oasis Sapphire,0,4548732.49,2025-08-07T19:30:03.273605
Taiko,45,4119722.24,2025-08-07T19:30:03.271738
Mode,79,4045528.81,2025-08-07T19:30:03.273012
Gravity by Galxe,0,3896037.62,2025-08-07T19:30:03.273019
Vision,2,3820031.01,2025-08-07T19:30:03.273204
Ergo,12,3613717.67,2025-08-07T19:30:03.272842
Boba,31,3604468.54,2025-08-07T19:30:03.271851
Radix,22,3600096.2,2025-08-07T19:30:03.272517
KUB,0,3440100.61,2025-08-07T19:30:03.273155
Alephium,8,3429147.21,2025-08-07T19:30:03.273516
Doge,18,3422354.76,2025-08-07T19:30:03.272000
Dexalot,1,3255844.18,2025-08-07T19:30:03.273341
Dymension,4,3163138.77,2025-08-07T19:30:03.273683
HashKey Chain,7,2972468.81,2025-08-07T19:30:03.271922
Moonriver,58,2969016.45,2025-08-07T19:30:03.271854
Litecoin,23,2851553.72,2025-08-07T19:30:03.271992
DefiChain,3,2835578.64,2025-08-07T19:30:03.272851
Vana,2,2673175.19,2025-08-07T19:30:03.273728
